127.0.0.1 - - [16/Oct/2022:12:21:01 +0200] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:21:01 +0200] "GET /FirstServletExercise/prova.html HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:21:02 +0200] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:21:11 +0200] "GET /FirstServletExercise/Servlet?userName=mario&password=ciao&B1=Submit HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:21:45 +0200] "GET /FirstServletExercise/Servlet?userName=mario&password=ciao&B1=Submit HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:22:00 +0200] "GET /FirstServletExercise/Servlet?userName=luigi&password=ciao&B1=Submit HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:22:25 +0200] "GET /FirstServletExercise/Servlet?userName=luigi&password=ciao&B1=Submit HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:22:27 +0200] "GET /FirstServletExercise/Servlet?userName=luigi&password=ciao&B1=Submit HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:23:03 +0200] "GET /FirstServletExercise/Servlet?userName=luigi&password=ciao&B1=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:23:03 +0200] "GET /shoppingPage.html HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:23:31 +0200] "GET /FirstServletExercise/prova.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:23:35 +0200] "GET /FirstServletExercise/Servlet?userName=luigi&password=ciao&B1=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:23:35 +0200] "GET /FirstServletExercise/shoppingPage.html HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:23:42 +0200] "GET /FirstServletExercise/Servlet?userName=luigi&password=ciao&B1=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:24:01 +0200] "GET /FirstServletExercise/Servlet?userName=luigi&password=ciao&B1=Submit HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2022:12:24:01 +0200] "GET /FirstServletExercise/shoppingPage.html HTTP/1.1" 304 -
